country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Belize;Central Bank of Belize;Edney Cain;President / Governor;1982;1983;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Robert Swift;President / Governor;1983;1986;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Alan Slusher;President / Governor;1986;1990;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Edney Cain;President / Governor;1991;1991;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Keith Arnold;President / Governor;1992;2002;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Jorge Meliton Auil;President / Governor;2002;2003;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Sydney Campbell;President / Governor;2003;2008;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Glenford Ysaguirre;President / Governor;2008;2016;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Amb. A. Joy Grant;President / Governor;2016;2021;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Gustavo Manuel Vasquez;President / Governor;2021;2021;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Kareem Michael;President / Governor;2021;2021;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Belize;Central Bank of Belize;Kareem Michael;President / Governor;2021;En cargo;kof;kof_workbook_governors_v2023;https://www.centralbank.org.bz;BLZ
Bermuda;Bermuda Monetary Authority;C. Winston Kempe;President / Governor;1969;1973;kof;kof_workbook_governors_v2023;https://www.bma.bm;BMU
Bermuda;Bermuda Monetary Authority;Dudley Butterfield;President / Governor;1973;1979;kof;kof_workbook_governors_v2023;https://www.bma.bm;BMU
Bermuda;Bermuda Monetary Authority;Frederick Yearwood;President / Governor;1979;1982;kof;kof_workbook_governors_v2023;https://www.bma.bm;BMU
Bermuda;Bermuda Monetary Authority;Davis Gibbons;President / Governor;1982;1986;kof;kof_workbook_governors_v2023;https://www.bma.bm;BMU
Bermuda;Bermuda Monetary Authority;Charles Mann;President / Governor;1986;1992;kof;kof_workbook_governors_v2023;https://www.bma.bm;BMU
Bermuda;Bermuda Monetary Authority;Mansfield Brock;President / Governor;1993;1998;kof;kof_workbook_governors_v2023;https://www.bma.bm;BMU
Bermuda;Bermuda Monetary Authority;Alan Richardson;President / Governor;2007;2009;kof;kof_workbook_governors_v2023;https://www.bma.bm;BMU
