PName_original;PName;iso3;first;last;iso3Birth;Start_year;Start_month;End_year;End_month;Position;Sex;Birth_year;Birth_month;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth
Abdur Talukder;Abdur Talukder;BGD;abdur;talukder;BGD;;;;;2;0;;;;;;;;
Mostakur Rahman;Mostakur Rahman;BGD;mostakur;rahman;BGD;;;;;2;0;;;;;;;;
Md. Ezazul Islam;Md Islam;BGD;md;islam;BGD;;;;;0;0;;;;;;;;
Md. Zabaidul Islam;Md Islam;BGD;md;islam;BGD;;;;;0;0;;;;;;;;
Dr. Fakhruddin Ahmed;Salahuddin Ahmed;BGD;salahuddin;ahmed;BGD;;;;;2;0;;;;;;;;
Dr. Salehuddin Ahmed;Salahuddin Ahmed;BGD;salahuddin;ahmed;BGD;;;;;2;0;;;;;;;;
A.K.N. Ahmed;Momtaz Ahmed;BGD;momtaz;ahmed;BGD;;;;;2;0;;;;;;;;
Ghulam Hussain;Ghulam Hussain;BGD;ghulam;hussain;BGD;;;;;2;0;;;;;;;;
Dr. Atiur Rahman;Md Rahman;BGD;md;rahman;BGD;;;;;0;0;;;;;;;;
Dr. Atiur Rahman;Kazi Rahman;BGD;kazi;rahman;BGD;;;;;1;0;;;;;;;;
Md. Habibur Rahman;Md Rahman;BGD;md;rahman;BGD;;;;;1;0;;;;;;;;
Todor Valchev;Todor Valchev;BGR;todor;valchev;BGR;;;;;2;0;;;;;;;;
Lyubomir Filipov;Lyubomir Filipov;BGR;lyubomir;filipov;BGR;;;;;2;0;;;;;;;;
Svetoslav Gavriiski;Svetoslav Gavriiski;BGR;svetoslav;gavriiski;BGR;;;;;2;0;;;;;;;;
Emilia Milanova;Emilia Milanova;BGR;emilia;milanova;BGR;;;;;1;1;;;;;;;;
Oleg Nedyalkov;Oleg Nedyalkov;BGR;oleg;nedyalkov;BGR;;;;;2;0;;;;;;;;
Emiliya Milanova;Emiliya Milanova;BGR;emiliya;milanova;BGR;;;;;2;1;;;;;;;;
Statty Stattev;Statty Stattev;BGR;statty;stattev;BGR;;;;;0;0;;;;;;;;
Dimitar Radev;Dimitar Radev;BGR;dimitar;radev;BGR;2015;7;;;2;0;1956;7;2;Georgetown University;;;Bulgaria;Plovdiv
Dimitar Kostov;Dimiter Kostov;BGR;dimiter;kostov;BGR;;;;;1;0;;;;;;;;
Dimitar Kostov;Dimitar Kostov;BGR;dimitar;kostov;BGR;;;;;1;0;1936;7;;;;;Bulgaria;Sofia
Tsvetan Gunev;Tsvetan Gunev;BGR;tsvetan;gunev;BGR;;;;;1;0;;;;;;;;
Tsvetan Manchev;Tsvetan Manchev;BGR;tsvetan;manchev;BGR;;;;;1;0;;;;;;;;
