iso3,country,name,position,start_year,end_year,status
CHL,Chile,Eduardo Cano Quijada,President / Governor,1973,1975,Histórico
CHL,Chile,Pablo Baraona Urzúa,President / Governor,1975,1976,Histórico
CHL,Chile,Alvaro Bardón Muñoz,President / Governor,1977,1981,Histórico
CHL,Chile,Miguel Kast Rist,President / Governor,1982,1982,Histórico
CHL,Chile,Carlos Cáceres Contreras,President / Governor,1982,1983,Histórico
CHL,Chile,Hernán Felipe Errázuriz Correa,President / Governor,1983,1984,Histórico
CHL,Chile,Francisco Ibánez Barceló,President / Governor,1984,1985,Histórico
CHL,Chile,Enrique Seguel Morel,President / Governor,1985,1989,Histórico
CHL,Chile,Manuel Concha Martínez,President / Governor,1989,1989,Histórico
CHL,Chile,Andrés Bianchi Larre,President / Governor,1989,1991,Histórico
CHL,Chile,Roberto Zahler Mayanz,President / Governor,1991,1996,Histórico
CHL,Chile,Carlos Massad Abud,President / Governor,1996,2003,Histórico
CHL,Chile,Vittorio Corbo Lioi,President / Governor,2003,2007,Histórico
CHL,Chile,Rodrigo Vergara,President / Governor,2011,2016,Histórico
CHL,Chile,Rosanna Costa,President / Governor,2022,En cargo,Actual
CHN,China,Hu Lijiao,President / Governor,1964,1973,Histórico
CHN,China,Chen Xiyu,President / Governor,1973,1978,Histórico
CHN,China,Li Baohua,President / Governor,1978,1982,Histórico
CHN,China,Lu Peijian,President / Governor,1982,1985,Histórico
CHN,China,Chen Muhua,President / Governor,1985,1988,Histórico
CHN,China,Li Guixian,President / Governor,1988,1993,Histórico
CHN,China,Zhu Rongji,President / Governor,1993,1995,Histórico
CHN,China,Dai Xianglong,President / Governor,1995,2002,Histórico
CHN,China,Zhou Xiaochuan,President / Governor,2002,2018,Histórico
CHN,China,Yi Gang,President / Governor,2018,En cargo,Actual
COL,Colombia,German Botero de los Rios,President / Governor,1969,1978,Histórico
COL,Colombia,Rafael Gamma Quijano,President / Governor,1978,1982,Histórico
COL,Colombia,Hugo Palacios Mejía,President / Governor,1982,1985,Histórico
COL,Colombia,Francisco J. Ortega Acoste,President / Governor,1985,1993,Histórico
COL,Colombia,Miguel Urrutia Montoya,President / Governor,1993,2005,Histórico
COL,Colombia,Jose Dario Uribe Escobar,President / Governor,2005,2017,Histórico
COL,Colombia,Juan Jose Echavarria,President / Governor,2017,2020,Histórico
COL,Colombia,Leonardo Villar,President / Governor,2021,En cargo,Actual
ZAR,"Congo, Dem. Rep. (Zaire)",Jules-Fontaine Sambwa Pida N’Bagui,President / Governor,1970,1977,Histórico
ZAR,"Congo, Dem. Rep. (Zaire)",Charles Bofossa W’Ambea Nkoso,President / Governor,1977,1979,Histórico
ZAR,"Congo, Dem. Rep. (Zaire)",Jules-Croy Emony Mondanga,President / Governor,1979,1980,Histórico
ZAR,"Congo, Dem. Rep. (Zaire)",Jules-Fontaine Sambwa Pida N’Bagui,President / Governor,1980,1985,Histórico
ZAR,"Congo, Dem. Rep. (Zaire)",Pierre Pay Pay Wa Syakassighe (MS),President / Governor,1985,1991,Histórico
ZAR,"Congo, Dem. Rep. (Zaire)",Jean-Gualbert Nyembo Shabani,President / Governor,1991,1993,Histórico
